"n5_v_1" :  : 爽やか (sawayaka) [emotions_sentiments]
"n5_v_2" :  : 大好き (daisuki) [emotions_sentiments]
"n5_v_3" :  : 嫌い (kirai) [emotions_sentiments]
"n5_v_4" :  : 暗い (kurai) [emotions_sentiments]
"n5_v_5" :  : 楽しい (tanoshii) [emotions_sentiments]
"n5_v_6" :  : 欲しい (hoshii) [emotions_sentiments]
"n5_v_7" :  : 涼しい (suzushii) [emotions_sentiments]
"n5_v_8" :  : 温かい (atatakai) [emotions_sentiments]
"n5_v_9" :  : 疲れる (tsukareru) [emotions_sentiments]
"n5_v_10" :  : 面白い (omoshiroi) [emotions_sentiments]
"n5_v_11" :  : おじいさん (ojiisan) [personnes_famille]
"n5_v_12" :  : おじさん (ojisan) [personnes_famille]
"n5_v_13" :  : おばあさん (obaasan) [personnes_famille]
"n5_v_14" :  : おばさん (obasan) [personnes_famille]
"n5_v_15" :  : お巡りさん (omawarisan) [personnes_famille]
"n5_v_16" :  : お兄さん (oniisan) [personnes_famille]
"n5_v_17" :  : お姉さん (oneesan) [personnes_famille]
"n5_v_18" :  : お母さん (okaasan) [personnes_famille]
"n5_v_19" :  : お父さん (otousan) [personnes_famille]
"n5_v_20" :  : 両親 (ryoushin) [personnes_famille]
"n5_v_21" :  : 兄 (ani) [personnes_famille]
"n5_v_22" :  : 先生 (sensei) [personnes_famille]
"n5_v_23" :  : 友達 (tomodachi) [personnes_famille]
"n5_v_24" :  : 叔母 (oba) [personnes_famille]
"n5_v_25" :  : 叔父 (oji) [personnes_famille]
"n5_v_26" :  : 外国 (gaikoku) [personnes_famille]
"n5_v_27" :  : 外国人 (gaikokujin) [personnes_famille]
"n5_v_28" :  : 大人 (otona) [personnes_famille]
"n5_v_29" :  : 妹 (imouto) [personnes_famille]
"n5_v_30" :  : 姉 (ane) [personnes_famille]
"n5_v_31" :  : 子供 (kodomo) [personnes_famille]
"n5_v_32" :  : 学生 (gakusei) [ecole_apprentissage]
"n5_v_33" :  : 家 (ie) [personnes_famille]
"n5_v_34" :  : 家庭 (katei) [personnes_famille]
"n5_v_35" :  : 家族 (kazoku) [personnes_famille]
"n5_v_36" :  : 弟 (otouto) [personnes_famille]
"n5_v_37" :  : 母 (haha) [personnes_famille]
"n5_v_38" :  : 生徒 (seito) [personnes_famille]
"n5_v_39" :  : 男の子 (otokonoko) [personnes_famille]
"n5_v_40" :  : 留学生 (ryuugakusei) [personnes_famille]
"n5_v_41" :  : 習う (narau) [personnes_famille]
"n5_v_42" :  : 警官 (keikan) [personnes_famille]
"n5_v_43" :  : 隣 (tonari) [personnes_famille]
"n5_v_44" :  : おなか (onaka) [corps_sante]
"n5_v_45" :  : お腹 (onaka) [corps_sante]
"n5_v_46" :  : 体 (karada) [corps_sante]
"n5_v_47" :  : 医者 (isha) [corps_sante]
"n5_v_48" :  : 口 (kuchi) [corps_sante]
"n5_v_49" :  : 寝る (neru) [corps_sante]
"n5_v_50" :  : 差す (sasu) [corps_sante]
"n5_v_51" :  : 手 (te) [corps_sante]
"n5_v_52" :  : 手紙 (tegami) [corps_sante]
"n5_v_53" :  : 歩く (aruku) [corps_sante]
"n5_v_54" :  : 歯 (ha) [corps_sante]
"n5_v_55" :  : 病気 (byouki) [corps_sante]
"n5_v_56" :  : 病院 (byouin) [corps_sante]
"n5_v_57" :  : 目 (me) [corps_sante]
"n5_v_58" :  : 耳 (mimi) [corps_sante]
"n5_v_59" :  : 薬 (kusuri) [corps_sante]
"n5_v_60" :  : 足 (ashi) [corps_sante]
"n5_v_61" :  : 身体 (shintai) [corps_sante]
"n5_v_62" :  : 軽い (karui) [corps_sante]
"n5_v_63" :  : 降りる (oriru) [corps_sante]
"n5_v_64" :  : 鞄 (kaban) [corps_sante]
"n5_v_65" :  : 頭 (atama) [corps_sante]
"n5_v_66" :  : 飲む (nomu) [corps_sante]
"n5_v_67" :  : 鼻 (hana) [corps_sante]
"n5_v_68" :  : はく (haku) [vetements]
"n5_v_69" :  : コート (kooto) [vetements]
"n5_v_70" :  : シャツ (shatsu) [vetements]
"n5_v_71" :  : スカート (sukaato) [vetements]
"n5_v_72" :  : ズボン (zubon) [vetements]
"n5_v_73" :  : ネクタイ (nekutai) [vetements]
"n5_v_74" :  : ボタン (botan) [vetements]
"n5_v_75" :  : ポケット (poketto) [vetements]
"n5_v_76" :  : ワイシャツ (waishatsu) [vetements]
"n5_v_77" :  : 上着 (uwagi) [vetements]
"n5_v_78" :  : 帽子 (boushi) [vetements]
"n5_v_79" :  : 押す (osu) [vetements]
"n5_v_80" :  : 曇る (kumoru) [vetements]
"n5_v_81" :  : 眼鏡 (megane) [vetements]
"n5_v_82" :  : 締める (shimeru) [vetements]
"n5_v_83" :  : 背広 (sebiro) [vetements]
"n5_v_84" :  : お弁当 (obentou) [nourriture_boissons]
"n5_v_85" :  : お茶 (ocha) [nourriture_boissons]
"n5_v_86" :  : お酒 (osake) [nourriture_boissons]
"n5_v_87" :  : くだもの (kudamono) [nourriture_boissons]
"n5_v_88" :  : ご飯 (gohan) [nourriture_boissons]
"n5_v_89" :  : ちゃわん (chawan) [nourriture_boissons]
"n5_v_90" :  : とり肉 (toriniku) [nourriture_boissons]
"n5_v_91" :  : ばんごはん (bangohan) [nourriture_boissons]
"n5_v_92" :  : ひるごはん (hirugohan) [nourriture_boissons]
"n5_v_93" :  : カップ (kappu) [nourriture_boissons]
"n5_v_94" :  : カレー (karee) [nourriture_boissons]
"n5_v_95" :  : コーヒー (koohii) [nourriture_boissons]
"n5_v_96" :  : テーブル (teeburu) [nourriture_boissons]
"n5_v_97" :  : パン (pan) [nourriture_boissons]
"n5_v_98" :  : レストラン (resutoran) [nourriture_boissons]
"n5_v_99" :  : 卵 (tamago) [nourriture_boissons]
"n5_v_100" :  : 台所 (daidokoro) [nourriture_boissons]
"n5_v_101" :  : 喫茶店 (kissaten) [nourriture_boissons]
"n5_v_102" :  : 塩 (shio) [nourriture_boissons]
"n5_v_103" :  : 夕飯 (yuuhan) [nourriture_boissons]
"n5_v_104" :  : 料理 (ryouri) [nourriture_boissons]
"n5_v_105" :  : 昼ご飯 (hirugohan) [nourriture_boissons]
"n5_v_106" :  : 晩ご飯 (bangohan) [nourriture_boissons]
"n5_v_107" :  : 果物 (kudamono) [nourriture_boissons]
"n5_v_108" :  : 牛乳 (gyuunyuu) [nourriture_boissons]
"n5_v_109" :  : 牛肉 (gyuuniku) [nourriture_boissons]
"n5_v_110" :  : 砂糖 (satou) [nourriture_boissons]
"n5_v_111" :  : 箸 (hashi) [nourriture_boissons]
"n5_v_112" :  : 紅茶 (koucha) [nourriture_boissons]
"n5_v_113" :  : 肉 (niku) [nourriture_boissons]
"n5_v_114" :  : 豚肉 (butaniku) [nourriture_boissons]
"n5_v_115" :  : 野菜 (yasai) [nourriture_boissons]
"n5_v_116" :  : 頼む (tanomu) [nourriture_boissons]
"n5_v_117" :  : 食べる (taberu) [nourriture_boissons]
"n5_v_118" :  : 食べ物 (tabemono) [nourriture_boissons]
"n5_v_119" :  : 食堂 (shokudou) [nourriture_boissons]
"n5_v_120" :  : 飲み物 (nomimono) [nourriture_boissons]
"n5_v_121" :  : 飴 (ame) [nourriture_boissons]
"n5_v_122" :  : 魚 (sakana) [nourriture_boissons]
