N5 Rencontrer : 会う , あう, (Au)
N5 Bleu : 青い , あおい, (Aoi)
N5 Rouge : 赤い , あかい, (Akai)
N5 Lumineux : 明るい , あかるい, (Akarui)
N5 Automne : 秋 , あき, (Aki)
N5 Ouvrir : 開ける , あける, (Akeru)
N5 Donner : 上げる , あげる, (Ageru)
N5 Matin : 朝 , あさ, (Asa)
N5 Petit-déjeuner : 朝ご飯 , あさごはん, (Asagohan)
N5 Après-demain : あさって , あさって, (Asatte)
N5 Pied : 足 , あし, (Ashi)
N5 Demain : 明日 , あした, (Ashita)
N5 Jouer : 遊ぶ , あそぶ, (Asobu)
N5 Chaud : 暖かい , あたたかい, (Atatakai)
N5 Tête : 頭 , あたま, (Atama)
N5 Nouveau : 新しい , あたらしい, (Atarashii)
N5 Là-bas : あちら , あちら, (Achira)
N5 Chaud : 暑い , あつい, (Atsui)
N5 Chaud : 熱い , あつい, (Atsui)
N5 Épais : 厚い , あつい, (Atsui)
N5 Après : 後 , あと, (Ato)
N5 Vous : あなた , あなた, (Anata)
N5 Grand frère : 兄 , あに, (Ani)
N5 Grande sœur : 姉 , あね, (Ane)
N5 Appartement : アパート , アパート, (Apaato)
N5 Prendre (une douche) : 浴びる , あびる, (Abiru)
N5 Dangereux : 危ない , あぶない, (Abunai)
N5 Sucré : 甘い , あまい, (Amai)
N5 Pas tellement : あまり , あまり, (Amari)
N5 Pluie : 雨 , あめ, (Ame)
N5 Bonbon : 飴 , あめ, (Ame)
N5 Laver : 洗う , あらう, (Arau)
N5 Exister : ある , ある, (Aru)
N5 Marcher : 歩く , あるく, (Aruku)
N5 Bon : いい / 良い , いい / よい, (Ii / yoi)
N5 Non : いいえ , いいえ, (Iie)
N5 Dire : 言う , いう, (Iu)
N5 Maison : 家 , いえ, (Ie)
N5 Aller : 行く , いく, (Iku)
N5 Combien : いくつ , いくつ, (Ikutsu)
N5 Combien : いくら , いくら, (Ikura)
N5 Étang : 池 , いけ, (Ike)
N5 Médecin : 医者 , いしゃ, (Isha)
N5 Chaise : いす , いす, (Isu)
N5 Occupé : 忙しい , いそがしい, (Isogashii)
N5 Douloureux : 痛い , いたい, (Itai)
N5 Un : 一 , いち, (Ichi)
N5 Une journée : 一日 , いちにち, (Ichinichi)
N5 Le plus : いちばん , いちばん, (Ichiban)
N5 Quand : いつ , いつ, (Itsu)
N5 5 jours : 五日 , いつか, (Itsuka)
N5 Ensemble : 一緒 , いっしょ, (Issho)
N5 Chien : 犬 , いぬ, (Inu)
N5 Maintenant : 今 , いま, (Ima)
N5 Signification : 意味 , いみ, (Imi)
N5 Petite sœur : 妹 , いもうと, (Imouto)
